time,grid,algorithm,program,dt,mean_elev__change,max_elev__change,local_elev__max_change,net_flux
6200000,raster,tvd,ttlem,2500,0.00366789573644155,0.0100960931358713,25.6197345904963,3.66789573663574e-08
6300000,raster,tvd,ttlem,2500,0.00283957832476744,0.00858116535607678,19.2004922527601,2.83957832499511e-08
6400000,raster,tvd,ttlem,2500,0.00349553123339774,0.00787397979388516,23.6215295375132,3.49553123335695e-08
6500000,raster,tvd,ttlem,2500,0.00408371663337448,0.00723129704999792,26.8935391500833,4.08371663351035e-08
6600000,raster,tvd,ttlem,2500,0.00342955515242238,0.00711236929396364,29.4502489466738,3.42955515236282e-08
6700000,raster,tvd,ttlem,2500,0.00208860283902368,0.00719925070870886,22.3717607012038,2.08860283856765e-08
6800000,raster,tvd,ttlem,2500,0.0026630369785039,0.00753195106881321,19.8225513484753,2.66303697906964e-08
6900000,raster,tvd,ttlem,2500,0.00244521687159249,0.00745813078685842,20.5909852404089,2.44521687164266e-08
7000000,raster,tvd,ttlem,2500,0.00405264193040011,0.00728621282337372,37.9380262182108,4.05264193010378e-08
7100000,raster,tvd,ttlem,2500,0.00407580445454414,0.00840548085341197,26.3473304348701,4.07580445413238e-08
7200000,raster,tvd,ttlem,2500,0.00248177815473127,0.00960310651680629,19.4954841901218,2.48177815521494e-08
7300000,raster,tvd,ttlem,2500,0.00308048208569289,0.00907913556488893,40.5248933483236,3.08048208556581e-08
7400000,raster,tvd,ttlem,2500,0.00235213283343683,0.00722900761161327,21.1575533271979,2.35213283371443e-08
7500000,raster,tvd,ttlem,2500,0.00109554524476607,0.00521909827887157,15.6224519637026,1.09554524480291e-08
7600000,raster,tvd,ttlem,2500,0.00031302517857057,0.00361761463250332,12.890413024546,3.13025177944849e-09
7700000,raster,tvd,ttlem,2500,0.000796410177770213,0.00247936861921971,14.891243957086,7.96410177718814e-09
7800000,raster,tvd,ttlem,2500,0.000705326606407652,0.00170455142767878,16.0101122658768,7.05326606398427e-09
7900000,raster,tvd,ttlem,2500,0.000650991936709033,0.0011112782631244,29.2987561419695,6.50991937425079e-09
8000000,raster,tvd,ttlem,2500,0.00156896554864261,0.000747381992141527,34.2212025787417,1.56896554889013e-08
8100000,raster,tvd,ttlem,2500,0.00192772921883488,0.00154092212494561,19.3453878854622,1.92772921804928e-08
8200000,raster,tvd,ttlem,2500,0.000969135156253742,0.00306576484297238,25.9340341643889,9.69135156236122e-09
8300000,raster,tvd,ttlem,2500,0.00025821987208019,0.00370695351182349,17.5353381096811,2.5821987187259e-09
8400000,raster,tvd,ttlem,2500,0.000101497206799195,0.00325919392787455,12.8800022118695,1.01497206354231e-09
